,Job Title,Client,Job Description,Location
43883,Data Warehouse Engineer,Silvercar,"Working experience with Amazon Web Services (S3, EC2, Lambda, Data Pipeline)","Austin, TX"
43884,Data Warehouse Engineer,Silvercar,"Hands-on experience and expertise in using advanced Snowflake//MySql/Postgres SQL features, specifically analytical functions","Austin, TX"
43890,Data Engineer,Logistics Management Institute,"Experience with relational SQL and NoSQL databases: Postgres, Cassandra, MongoDB","Austin, TX"
43906,Lead Data Engineer - Analytics Product Development,nThrive,"Working experience in at least one of the BI tools such as Power BI, Tableau, Spotfire, Microstrategy","Plano, TX 75024"
43924,Senior Data Engineer - Wallet & Apple Pay,Apple,"Practical hands-on experience with technologies like Apache Hadoop, Apache Pig, Apache Hive, Apache Sqoop & Apache Spark",
43941,Senior Analog Design Engineer - Data Converters,Mythic-AI,"Significant experience with the entire production process, including post-silicon debug and post-product release related activities for several products.","Austin, TX"
43955,"Machine Learning Engineer, AMP Analytics & Data Products - Austin",Apple,"We look for hands-on experience with data processing and management with both RDBMS such as Postgres, MySQL and big data stack such as Apache Spark.",
43989,Big Data DevOps Engineer (Hadoop),Experian,"Hands-on day-to-day expert experience in administering a Cloudera cluster with Cloudera Manager, Cloudera Director, Cloudera Navigator","Allen, TX"
44059,Senior Cloud Data Engineer,Cottonwood Financial,Advanced user of SQL and ETL tools (SSIS / Talend / Informatica / Data Services),"Irving, TX 75038"
44101,Senior Software Engineer - Reference and Big Data System,JPMorgan Chase,"Experience with multi-threading, concurrency, and highly scalable microservice and REST web services",
44140,Sr. Data Engineer,"Hilltop Holdings, Inc.",Design and maintain Power BI and SSRS reports that meet business requirements,"Irving, TX 75039"
44147,Lead Big Data Engineer / Architect - Director,JPMorgan Chase,"Driving innovation across the firm’s corporate technology portfolio, increasing efficiencies through process automation, and Agile application development, with an emphasis on user experience and shorter development cycles",
44150,Lead Big Data Engineer / Architect - Director,JPMorgan Chase,"Follow SDLC best practices such continuous integration, automated unit test and regression testing, etc and focus on end to end quality of the delivery.",
44154,Senior Data Engineer,UnitedHealth Group,"Contribute to the design and architecture to enable secure, scalable, and maintainable software and should be able to clearly articulate the implications of design/architectural decisions, issues and plans to technology leadership",
44165,Senior Data Engineer,UnitedHealth Group,Experience working in an Agile environment utilizing test-driven development practices,
44171,Senior Data Engineer,Citi,Ensure automation through CI/CD across platforms both in cloud and on-premises,
44175,Senior Data Engineer,Citi,"Convert SAS based pipelines into languages like PySpark, Scala to execute on Hadoop and non-Hadoop ecosystems",
44200,Data Quality Engineer,Steward Health Care,Experience working in virtualized cloud environment including cloud-based IaaS/SaaS/PaaS solutions.,"Richardson, TX"
44233,Senior Data Engineer – Warehouse and B.I.,Teacher Retirement System of Texas," Cloud platforms and development patterns (i.e. AWS, Azure, MapReduce, etc.)","Austin, TX"
44235,Senior Data Engineer – Warehouse and B.I.,Teacher Retirement System of Texas," Relational and non-relational data structures, theories, principles, and practices.","Austin, TX"
44244,Big Data Engineer (Kafka),Frontend Arts,"Hands-on experience in designing, writing, and operationalizing new Kafka Connectors using the framework","Irving, TX"
44247,Big Data Engineer (Kafka),Frontend Arts,"Accelerate adoption of the Kafka ecosystem by creating a framework for leveraging technologies such as Kafka Connect, KStreams/KSQL, Schema Registry, and other streaming-oriented technology","Irving, TX"
44261,Sr. Big Data Engineer,DealerSocket,Working on Big Data infrastructure for batch processing as well as real-time processing. Responsible for building scalable distributed data solutions using Apache Spark .,"Dallas, TX 75201"
44268,Sr. Big Data Engineer,DealerSocket,Developed and Configured Kafka brokers to pipeline data into spark streaming.,"Dallas, TX 75201"
44270,Sr. Big Data Engineer,DealerSocket,Developed spark code and spark-SQL/streaming for faster testing and processing of data.,"Dallas, TX 75201"
44292,Staff Big Data Engineer,Integral Ad Science,Migrate existing data pipelines from on-prem regional data centers to AWS and GCP.,"Austin, TX"
44334,Lead Big Data Engineer - AWS,JPMorgan Chase,"Experience in implementing distributed and scalable algorithms (Hadoop, Spark)",
44336,Lead Big Data Engineer - AWS,JPMorgan Chase,Development using Agile methodologies (Jira / Scrum) delivered on time and in budget,
44337,Lead Big Data Engineer - AWS,JPMorgan Chase,Transforming existing ETL logic into Hadoop Platform in accordance to architecture vision and agreed strategy,
44355,Senior Big Data Engineer,Infoblox,"Join an agile SaaS team to design, develop and maintain features and iteratively deploy services using Infoblox’s cloud-based architecture","Austin, TX"
44367,Senior Data Engineer,Unizin,"Expert-level knowledge of relational and NoSQL databases (e.g. Postgres, BigQuery)","Austin, TX 78701"
44377,Senior Data Engineer,Vectra,"Experience building and deploying to any cloud service (AWS, Azure, GCP, etc.)","Austin, TX"
44411,Senior Big Data/Hadoop Engineer,Evaya Data Systems,Build robust and scalable data infrastructure (both batch processing and real-time) to support needs from internal and external users,"Allen, TX"
44416,Senior Big Data/Hadoop Engineer,Evaya Data Systems,"Ability to set-up a Hadoop cluster from scratch and maintain, troubleshoot and tune by reviewing logs from various Hadoop services.","Allen, TX"
44417,Senior Big Data/Hadoop Engineer,Evaya Data Systems,"Strong understanding of the Hadoop stack - HDFS, map-reduce, YARN/Mesos, Zookeeper","Allen, TX"
44424,Senior Big Data Engineer,HMS,"Build a next-generation tools platform for creating, managing and deploying multi-channel outreach campaigns in the AWS cloud","Irving, TX 75038"
44474,Principal Data Engineer,Procore Technologies,"Experience building and optimizing data pipelines, architectures, and data sets","Austin, TX"
44476,Principal Data Engineer,Procore Technologies,Deep knowledge of stream processing and highly scalable 'big data' data stores,"Austin, TX"
44493,Senior Data Engineer,LyondellBasell Industries,Industrializing data lakes or real-time platforms for an enterprise enabling business applications and usage at scale,"Houston, TX 77010"
44503,Senior Data Engineer,LyondellBasell Industries,Experience working with LAMBDA architecture using real-time Kafka ingestion and high-volume batch loads,"Houston, TX 77010"
44533,"AVP, Digital/Marketing Data Architect and Engineer",LPL Financial,Architecting and implementing ETL and data replication solutions that provide timely and accurate ingestion of data to data warehouses and data lakes,"Austin, TX"
44534,"AVP, Digital/Marketing Data Architect and Engineer",LPL Financial,"Architecting and implementing contemporary back end data warehouse and data lake repositories that support reporting, analysis, exploration, visualization and machine learning","Austin, TX"
44557,Principal Data Engineer - Kafka SME,Procore Technologies,Possess a natural wonder for technology including AWS and docker and automation,Texas
44559,Principal Data Engineer (Austin/San Jose/Destin),CDK Global,"Create a fluid, end-to-end vision for data flowing through our ecosystem to enable seamless, near real-time workflow integration with both relational and non-relational data stores.",
44588,Senior Data Engineer - ETL Lead,Charles Schwab,Knowledge of Big Data ETL such as Informatica BDM and Talend tools is preferred,"Westlake, TX 76262"
44595,Data Engineer Analytics - Senior Advisor,CVS Health,Bringing a DevOps mindset to enable data and batch/real-time analytical solutions that leverage emerging technologies,
44600,Data Engineer Analytics - Senior Advisor,CVS Health,"Hands-on experience with “big data” platforms including Hadoop (preferably Azure or GCP) and Spark as well as experience with traditional RDBMS, preferably Teradata.",
44603,Data Engineer Analytics - Senior Advisor,CVS Health,"Proficiency with tools to automate CI/CD pipelines (e.g., Jenkins, GIT, Control-M)",
44627,Sr. Software Engineer - Data Platform,Bright Health,"Write traditional code and server-less functions using the language best suited for the task, which typically include C#, T-SQL and PowerShell.","Austin, TX 78703"
44629,Sr. Software Engineer - Data Platform,Bright Health,Participate in building and owning a culture of DevOps and Quality Assurance.,"Austin, TX 78703"
44630,Senior/Lead Big Data Engineer,Punchh,Work with large data sets and implement sophisticated data pipelines with both structured and structured data.,"Austin, TX"
44631,Senior/Lead Big Data Engineer,Punchh,"Manage and optimize our internal data pipeline that supports marketing, customer success and data science to name a few.","Austin, TX"
44663,Senior Software Engineer - Full Stack Developer - Cloud/Data/Java/Spring/Microservices,JPMorgan Chase,"Microservices, private/public cloud and data strategy development experience",
44675,"Sr Principal Data Engineer - Secureworks - Austin, TX; Atlanta, GA; or US Remote",Dell,"Experience working with containers and container orchestration solutions such as Docker, Kubernetes, Mesos, etc.","Austin, TX"
44677,"Sr Principal Data Engineer - Secureworks - Austin, TX; Atlanta, GA; or US Remote",Dell,"Experience with distributed NoSQL databases, such as HBase, Cassandra, or Accumulo.","Austin, TX"
44718,Senior AWS Big Data Engineer,LPL Financial,Strong Development Experience in either one of the Distributed Big Data processing preferably using Spark on EMR,"Austin, TX"
44723,Senior AWS Big Data Engineer,LPL Financial,"Strong Data Orchestration experience using tools such has AWS Step Functions, Lambda, AWS Data Pipeline, Apache Airflow or related","Austin, TX"
44724,Senior AWS Big Data Engineer,LPL Financial,"Strong experience on either one or more MPP Data Warehouse Platforms prefer AWS RedShift, PostgreSQL or similar","Austin, TX"
44734,Senior AWS Big Data Engineer,LPL Financial,"Deep expertise in (at least one) SQL language, Python, Hadoop ecosystem and/or Spark ecosystem.","Austin, TX"
44740,Senior AWS Big Data Engineer,LPL Financial,"Develop software to run on cloud-native big data infrastructure built on AWS using Spark, Lambda, S3, and other Cloud-native services","Austin, TX"
44742,Senior AWS Big Data Engineer,LPL Financial,"Robust analytics and reporting skills – hands-on Experience in BI Tools like Tableau, Power BI, Salesforce Einstein","Austin, TX"
44744,"Senior Data Engineer, Oracle Cloud Infrastructure (Join OCI-SDE)",Oracle,Ability to work in a fast-paced Agile development and rapid deployment environment,"Austin, TX"
44747,Data Engineer (Remote),Icon Fitness,Build data pipelines and data models that will empower engineers and analysts to make data-driven decisions,"Logan, UT"
44758,Data Engineer,Jane.com,Take primary responsibility in creating and maintaining data pipelines and monitoring data movement,"Lehi, UT 84043"
44759,Data Engineer,Jane.com,"Profile data sources, create dimensional models, implement ETL, and load into data warehouse and data lake","Lehi, UT 84043"
44762,Data Engineer,Jane.com,"Gather requirements from teams and translate into codeDeliver clean, scalable, maintainable code and monitoring","Lehi, UT 84043"
44763,Data Engineer,Jane.com,Share in on-call responsibilities for the uptime for the data warehouse and ETL processes,"Lehi, UT 84043"
44767,Data Engineer,Jane.com,Desire to work in a collaborative Agile environment solving problems as part of a team,"Lehi, UT 84043"
44782,Data Migrations Engineer,Filevine,"Creating, maintaining, optimizing stored procedures, database and ETL processes","Provo, UT"
44785,Data Migrations Engineer,Filevine,"Executing Dynamic SQL, table driven processing, and performance tuning of current and future database objects","Provo, UT"
44788,Data Migrations Engineer,Filevine,10 + Experience in general database development using SQL up through SQL 2014.,"Provo, UT"
44807,Data Engineer,PDQ.com,Design and either implement or direct implementation of data hooks in internal microservices (generally C# .NET Core) to pipe information into EDW for data mining.,"Salt Lake City, UT 84101"
44814,Data Engineer,1-800 CONTACTS,Work with a team that is making the transition from an on-premises Microsoft based data warehouse to a cloud data warehouse using tools such as Kafka and DataBricks.,"Draper, UT 84020"
44816,Data Engineer,1-800 CONTACTS,Participate in a proof of concept to prove out the effectiveness of using Kafka and DataBricks as a viable data warehouse.,"Draper, UT 84020"
44817,Data Engineer,1-800 CONTACTS,Maintaining existing ETL packages created in SQL Server Integration Services,"Draper, UT 84020"
44818,Data Engineer,1-800 CONTACTS,Experience working with data related cloud technologies such as Kafka and DataBricks,"Draper, UT 84020"
44821,Data Engineer - Teem,iOffice,"Own the data pipeline infrastructure, ETL processes and data warehouse schemas","Sandy, UT 84070"
44825,Data Engineer - Teem,iOffice,Experience integrating data sets and writing ETL jobs to populate a data warehouse; proficiency with Talend products is beneficial,"Sandy, UT 84070"
44827,Data Engineer - Teem,iOffice,Familiarity or ability to learn distributed streaming platforms such as Apache Kafka,"Sandy, UT 84070"
44828,Data Engineer,Progrexion,"Build and maintain ETL pipelines, data warehouse/Lake data architecture, data workflows and analytic/ML feature engineering.",
44841,Senior Data Engineer,"BrainStorm, Inc",Build and support well-engineered data systems hosted in Microsoft Azure and Snowflake,"American Fork, UT 84003"
44844,Data Engineer,MasterControl,Pull data from all customer databases into S3 and put into a queryable format,"Salt Lake City, UT 84121"
44846,Data Engineer,MasterControl,"Pull data from a real-time streaming architecture (Kafka) and do near-real-time aggregations and projections of the data, storing the results in S3","Salt Lake City, UT 84121"
44847,Data Engineer,MasterControl,"Help automate the provisioning of AWS Lake Formations, EMR/Spark/S3 and other services in AWS","Salt Lake City, UT 84121"
44849,Data Engineer,MasterControl,Big Data Mindset (Spark/Hive/Hadoop/HCatalog/Hudi). Understanding of the Big Data landscape.,"Salt Lake City, UT 84121"
44867,Data Engineer,Homie,"Develop and maintain data pipelines including solutions for data collection, management, and usage.","South Jordan, UT 84095"
44886,Principal Data Engineer,Nu Skin,"Proficiency with data querying languages (e.g. SQL), programming languages (e.g. Python, Java, etc.),","Provo, UT"
44889,Principal Data Engineer,Nu Skin,"Familiarity with Scrum, DevOps, and DataOps methodologies, and supporting tools such as JIRA","Provo, UT"
44891,Principal Data Engineer,Nu Skin,"Experience with managing AWS infrastructure as code, including the use of Cloud Formation, Git, and GitLab.","Provo, UT"
44895,Sr Data Engineer,Aktify,Create both real-time and batch system architecture and data infrastructure.,"Lehi, UT 84043"
44896,Sr Data Engineer,Aktify,Implement efficient real-time streaming and data lake batch processes that preserve data correctness.,"Lehi, UT 84043"
44897,Sr Data Engineer,Aktify,"Create reactive, independent microservices connected by REST APIs and Kafka.","Lehi, UT 84043"
44900,Sr Data Engineer,Aktify,"Experience with PostgreSQL, Redis and KVS (e.g. Cassandra, Cloud Datastore).","Lehi, UT 84043"
44910,"Senior Software Engineer, Data Platform",BambooHR,"Design and implement a data pipeline pulling from tens of thousands of customer databases, while ensuring privacy and security","Lindon, UT 84042"
44924,IT Data Engineer,Systems Implementers Inc,Provide engineering support (hardware and software) for data analytics service that includes a large data lake and a catalog of data analytics tools,"Hill AFB, UT"
44925,IT Data Engineer,Systems Implementers Inc,"Support data ingest into the data lake, manage typical data set transformations prior to consumption, and facilitate publishing data sets for consumption by data scientists and functional users","Hill AFB, UT"
44926,IT Data Engineer,Systems Implementers Inc,Manage API access to data sets in the data lake and secure data sets so that groups of consumers have appropriate access to their sets,"Hill AFB, UT"
44927,IT Data Engineer,Systems Implementers Inc,Provide administrative support for data analytics tools in the service catalog including software support for open-source (OSS) tools used to manage the data lake and within the service catalog.,"Hill AFB, UT"
44934,IT Data Engineer,Systems Implementers Inc,Experience with VMware vSphere Ecosystem; experience in VMware Cloud (VMC) on AWS and VMware NSX a plus,"Hill AFB, UT"
44935,IT Data Engineer,Systems Implementers Inc,"Experience with Red Hat/CentOS Linux and/or Windows Server operating systems as well as relational database technologies such as Oracle MySQL, Postgres","Hill AFB, UT"
44937,Senior Data Engineer,Ken Garff Automotive Group,"Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics",
44939,Senior Data Engineer,Ken Garff Automotive Group,"Experience with relational SQL and NoSQL databases, including DynamoDB and MySQL.",
44941,Data Operations Engineer,Zions Bancorporation,"Evangelize and lead the team in Data Operations best practices, ensuring delivery of a highly available and scalable systems","Salt Lake City, UT"
44946,Data Operations Engineer,Zions Bancorporation,"Experience configuring and/or integrating with monitoring and logging solutions such as syslog, ELK (Elastic, Logstash, Kibana) and Kafka.","Salt Lake City, UT"
44948,Data Operations Engineer,Zions Bancorporation,"Experience deploying and operating services running in the Cloud (Azure, AWS)","Salt Lake City, UT"
44949,Data Operations Engineer,Zions Bancorporation,Experience building data pipelines and automating Big Data platform applications/services,"Salt Lake City, UT"
44950,Sr. Data Engineer - Analytics Product Development,nThrive,Lead teams working through data pipeline problem sets quickly and deliver solutions that scale.,"Layton, UT 84041"
44955,Sr. Data Engineer - Analytics Product Development,nThrive,Experience with automation and shortening of data pipelines around large-scale enterprise systems.,"Layton, UT 84041"
44956,Sr. Data Engineer - Analytics Product Development,nThrive,"Familiarity with Elasticsearch modeling, query optimization, and configuration for high-demand architecture.","Layton, UT 84041"
44965,Analytics Data Engineer,Progressive Leasing,Help team operate current data platform (on-prem SQL Server) while migrating to new data platform (Snowflake) using a new data transformation architecture,"Draper, UT 84020"
44970,Senior/Lead Data Science Engineer,3PL Central LLC,Partner with the BI product manager to identify game-changing opportunities and engage in lean/agile learn-build-measure iterations,Utah
44989,Sr. Data Engineer,"ZAGG, Inc.",Strong experience in supporting data structures supporting Microsoft Dynamics Technologies including MSSQL and Cloud CDS,"Midvale, UT"
44992,Sr. Data Engineer,"ZAGG, Inc.",Strong SQL Skills along with an understanding of data warehouse methodologies,"Midvale, UT"
45008,Information Analyst/Engineer - Big Data,Zions Bancorporation,"Work within a SAFe Agile team to develop, build and maintain a Continuous Delivery Pipeline that delivers new functionality to users","Salt Lake City, UT"
45015,Information Analyst/Engineer - Big Data,Zions Bancorporation,Active participation in the product teams’ agile ceremonies which facilitate a close-knit team environment and high productivity,"Salt Lake City, UT"
45018,Information Analyst/Engineer - Big Data,Zions Bancorporation,"Skilled in programming and scripting languages (SQL, Python, DataStage, or other ETL tools…)","Salt Lake City, UT"
45021,Data Engineer,X-Mode Social,"Write Spark, Python/Scala, and SQL to perform ETL on billions of location records per day",Virginia
45022,Data Engineer,X-Mode Social,Implement ETL pipelines in AWS (EMR/Glue) to support feature stores for analysis and machine learning use cases.,Virginia
45034,Data Engineer,Markel Corporation,In-depth knowledge of large scale data driven consumer facing applications that require high volume data pipelines,"Richmond, VA 23219"
45037,Data Engineer,Markel Corporation,Experience working with large data sets and a variety of relational databases,"Richmond, VA 23219"
45044,Distinguished Data Engineer - Machine Learning,Capital One,"Design and develop cutting-edge solutions, using existing and emerging technology platforms specific to Data Engineering and Machine Learning Engineering (feature calculation, streaming and batch, machine learning lifecycle and platforms)","McLean, VA 22101"
45065,Macroelectronics Data Engineer,Prescient Edge Federal,Perform research and analysis of large data sets to include operational data and perform data validation and visualization and other statistical analysis of a mildly urgent/sensitive nature,"Quantico, VA 22134"
45097,Data Engineer - Mid,"Preting, LLC","Experience building and optimizing data pipelines, architectures, and data sets.","Quantico, VA"
45166,"Software Engineer, Data Science",Cofense Inc.,Able to build REST APIs to give secure access to Data lake. Develop Data Pipelines on Cloud Technologies like Azure/AWS with well-defined tool frameworks,"Leesburg, VA"
45167,"Software Engineer, Data Science",Cofense Inc.,"Able to develop ETL code to stream data from disparate (structured and semi-structured) SaaS product data stores to Data Lake/Data Warehouse using Python, Azure/AWS Data Lake services","Leesburg, VA"
45174,"Software Engineer, Data Science",Cofense Inc.,Ability to develop and interpret Entity Relationship Diagrams (ERD) across data sets in relational database systems as well as non-relational Data stores,"Leesburg, VA"
45185,"Software Engineer, Data Science",Cofense Inc.,Experience developing micro-services and Containerize applications/ETL pipelines using Docker or ECS is a huge plus,"Leesburg, VA"
45193,"Software Engineer, Data Science",Cofense Inc.,"Hands-on experience in Developing ETL data pipelines, Applications using SQL, Python","Leesburg, VA"
45294,Data Engineer | TS(SCI Eligible),Connect Talent Solutions,SQL Server Reporting Services (SSRS) – Decent to Solidunderstanding of monitoring the SSRS core database tables withregards to report run- time and slow reporting performance.,"Springfield, VA 22150"
45324,Senior Software Engineer - Data Acquisition Team,Clarabridge,"Willing to jump in to areas other than pure software development, ie: creating architectures that are easily monitored from a devops perspective",Virginia
45367,Senior Data Engineer,inventium.io LLC,Preferred: the candidates are adept in agile methodologies and well-versed in applying DevOps/MLOps methods to the construction of ML and data science pipelines.,"Quantico, VA 22134"
45391,Data Systems Architect / Engineer,ManTech International Corporation,"Hands-on experience with structured and/or unstructured data and database capabilities (SQL, NoSQL, etc.)",
45393,Data Systems Architect / Engineer,ManTech International Corporation,"Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop).",
45439,Software Engineer - Big Data and Cloud,JPMorgan Chase,Drive technical innovation and efficiency in infrastructure operations via automation – for example automated server build processes,
45454,Database / Data Engineer,"Webtellect, LLC","Write robust SQL code to retrieve and analyze data from database tables (ex. MySQL, Redshift, Athena)","Seattle, WA 98104"
45469,"Software Engineer, Data Pipeline",Outreach,Develop framework & tools to support self-service data pipeline management (ETL),"Seattle, WA 98103"
45473,"Software Engineer, Data Pipeline",Outreach,Good understanding of SQL Engine and able to conduct advanced performance tuning,"Seattle, WA 98103"
45481,Data Engineer,Lionbridge Technologies,Write high-quality SQL queries to retrieve and analyze data from database tables,"Redmond, WA"
45493,Data Engineer - 2021 (United States),Amazon.com,"Experience with data visualization software (e.g., AWS QuickSight or Tableau) or open-source project",
45498,AWS Cloud Data Engineer,"Webtellect, LLC",Track record of successfully building scalable Data Lake solutions that connects to distributed data storage using multiple data connectors.,"Seattle, WA 98104"
45519,Data Software Engineer II,Microsoft,"Continuous learning and working closely with the latest technologies (AI/ML, Azure Synapse Analytics, etc.) in Microsoft","Redmond, WA"
45523,Data Software Engineer II,Microsoft,"Experience with cloud-based data services, including data pipeline orchestration tooling (i.e. Azure Data Factory)","Redmond, WA"
45524,Data Software Engineer II,Microsoft,Advanced data visualization and dashboard design experience using PowerBI (preferred) or Tableau.,"Redmond, WA"
45525,Data Software Engineer II,Microsoft,"Exposure to Agile software delivery and modern DevOps practices (including Git, CI/CD)","Redmond, WA"
45529,Data Engineer,ZoomInfo Technologies LLC,Look for ways to automate processes currently performed manually to improve department efficiency,"Vancouver, WA"
45537,Data Engineer,Chef Software,"Take ownership for designing, developing and maintaining scalable data pipelines and data models.","Seattle, WA"
45546,Data Engineer,Chef Software,Working experience with Containers and Container orchestration tools such as Docker and Kubernetes is a huge plus.,"Seattle, WA"
45556,"VW Automotive Cloud, Software Data Platform Engineer",Volkswagen Group of America,"Experience in ARM/Terraform, PowerShell to deploy and configure cloud resources.","Redmond, WA"
45558,"VW Automotive Cloud, Software Data Platform Engineer",Volkswagen Group of America,"Experience in using data storages like Azure Event Hub, Azure Data Lake, or databases.","Redmond, WA"
45561,"VW Automotive Cloud, Software Data Platform Engineer",Volkswagen Group of America,"Full stack experience with at least one server-side software stack: (e.g. J2EE, .Net, Rails)","Redmond, WA"
45562,"VW Automotive Cloud, Software Data Platform Engineer",Volkswagen Group of America,"DevOps and CI/CD tool chains (i.e. Jenkins, Spinnaker, Azure developer services, GitHub)","Redmond, WA"
45577,Data Engineer,Rad Power Bikes,"Completed end-to-end administration and maintained tools, systems, pipelines and ETLs","Seattle, WA 98107"
45603,Data Engineer,Sound Transit,"Relational database management systems, NoSQL databases and Big Data ecosystem.",
45642,"Data Engineer II, Amazon Fuse",Amazon.com,"Build, maintain and optimize scalable self-service solutions that empower stakeholders to address their data needs.",
45683,Data Engineer - Paid Marketing,doxo,"Help to scale Facebook advertising by creating an ETL of Facebook marketing data and an automated python-based system to scale ad set creation, demographic bidding, creative management and audience targeting.","Seattle, WA 98104"
45697,"Sr. Data Engineer, Prime Video",Amazon.com,"Gather business and functional requirements and translate these requirements into robust, scalable, operable solutions that work well within the overall data architecture.",
45699,"Sr. Data Engineer, Prime Video",Amazon.com,"3+ using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologies",
45712,Scientific Data Engineer I - Image Processing - Cell Science,Allen Institute,Collaborate with other teams in the institute to scale-up data analysis and image processing protocols into a high throughput microscopy and analysis pipeline,"Seattle, WA 98109"
45739,Scientific Data Engineer – Data Analytics and Curation,Allen Institute,"Co-develop requirements for tools to support data ingest, ETL and dashboarding.","Seattle, WA 98109"
45760,AWS Cloud Data Engineer,Denken Solutions Inc,"Solid understanding of AWS Cloud Platform with hands-on experience in EMR, AWS CLI, CloudFormation, Parameter Store.","Seattle, WA"
45782,Machine Learning Engineer - Data Science,SIFT,"Experience working with scalable, real-time prediction systems in production","Seattle, WA"
45790,Data Engineer – Enterprise Data Warehouse,DocuSign,Executes projects using Agile Scrum methodologies and is part of one or more mission-based Scrum Teams,"Seattle, WA 98101"
45808,Data Engineer II,Amazon.com,Work with AWS leadership to present key findings from analyses to stakeholders,
45825,Staff Data Engineer,Particle,"Deep knowledge of and extensive experience with the following technologies:SQL and scripting experience with one of the following: Ruby, Node.JS, or PythonMongoDB (preferred) or other non-relational databasesStitch, Segment or DBTSnowflake or RedshiftTableau (preferred) or a similar BI Analytics toolMachine Learning skills a plus!",Washington State
45826,Staff Data Engineer,Particle,"SQL and scripting experience with one of the following: Ruby, Node.JS, or Python",Washington State
45915,Data Engineer (Web Logging Platform),Coupang,Ability to understand & write simple analytic queries using HQL or similar SQL-dialects,"Seattle, WA 98101"
45918,Data Engineer (Web Logging Platform),Coupang,"Experience of using large-scale distributed infrastructures (e.g. Redis, Kafka, Elasticsearch, …etc)","Seattle, WA 98101"
45922,"Software Development Engineer, Big Data (Streaming, Airflow, Spark)",Zillow Group,Familiarity with a Cloud platform (e.g. AWS) and with Infrastructure-as-Code (e.g. Terraform),"Seattle, WA 98101"
45926,Senior Data Engineer,Undead Labs,Develop our end-to-end data analytics pipeline to support critical decision making.,"Seattle, WA 98104"
45943,"Data Engineer II, AIR BI, Amazon AIR",Amazon.com,Developing and operating large-scale data structures for business intelligence using: ETL/ELT processes. OLAP technologies; data modeling; SQL.,
45956,Data Engineer III,Subsplash,Work with our Site Reliability Engineers to establish reliable and scalable processes for populating/re-hydrating our data warehouse/data lakes from production systems,Washington State
45960,Data Engineer III,Subsplash,Build and maintain our ETL pipelines from production data stores into the data warehouse,Washington State
45964,Data Engineer III,Subsplash,Knowledge and direct experience using business intelligence reporting tools (preferably Tableau),Washington State
45966,Data Engineer III,Subsplash,"Experience working with Snowflake or similar data platforms (i.e. AWS Redshift, BigQuery)",Washington State
45971,"Engineer 2, Data – Nordstrom Analytical Platform",Nordstrom,"Working experience with various data formats such as Avro, JSON, Parquet, ORC.","Seattle, WA"
45979,"Engineer 2, Data – Nordstrom Analytical Platform",Nordstrom,"Experience in developing near real-time data processing solutions using Kafka, Flink, Spark Streaming is a major plus","Seattle, WA"
45980,Data Engineer II (L5) - Business Data Technologies,Amazon.com,Developing and operating large-scale data structures for business intelligence analytics using: ETL/ELT processes; OLAP technologies; data modeling; SQL;,
45995,Bioinformatics Data Engineer,Allen Institute for Immunology,"Design and develop software programs to optimize scRNA-seq, scATAC-seq & CITE-seq processing pipelines and analysis algorithms including PCA and dimensionality reduction","Seattle, WA 98109"
46021,Senior Data Engineer - Agent Compensation,Redfin,"Develop, implement and tune ETL processes to support downstream applications","Seattle, WA"
46046,Senior Data Engineer,Sincro,"Lead the construction and maintenance of an automated, scalable, resilient, and self-healing data platform.","Seattle, WA"
46048,Senior Data Engineer,Sincro,"Design and build automated, self-service data capabilities, freeing teams to focus on customer features and analysis.","Seattle, WA"
46058,Senior Data Engineer,Sincro,Experience in application design and Implementation using agile practices & TDD.,"Seattle, WA"
46064,Legal Data Engineer,Amazon.com,Continually improve reporting and analysis processes. Automate manual reports. Help business partners use self-service tools to create their own reports.,
46066,Legal Data Engineer,Amazon.com,"Experience with AWS data tools including EMR, Kinesis, Redshift and QuickSight",
46096,Data Engineer - XCM,Amazon.com,Architect and develop end to end scalable data applications and data pipelines,
46100,Data Engineer - XCM,Amazon.com,"Experience with end-to-end data pipeline automation process, including data input, data quality validation, data extraction and data reporting",
46107,"Data Engineer, Alexa Shopping",Amazon.com,"Familiarity with non-relational databases / data stores (object storage, document or key-value stores, graph databases, column-family databases)",
46122,Data Engineer - Prime Video,Amazon.com,"Interface directly with stakeholders, gathering requirements and owning automated end-to-end reporting solutions",
46128,Senior Data Engineer,Coupang,"Architect, Design and develop modern Enterprise Data Warehouse/Data Lake platform and products.","Seattle, WA 98101"
46129,Senior Data Engineer,Coupang,"Software Engineering mindset, ability to build highly scalable and fault tolerant data pipeline applications to transform petabyte scale of data volumes.","Seattle, WA 98101"
46133,Senior Data Engineer,Coupang,"Experienced in architecting, designing, building and maintaining highly scalable data warehouses products and platforms.","Seattle, WA 98101"
46135,Senior Data Engineer,Coupang,"Experience in distributed processing using Hadoop (MapReduce or Hive), EMR, Spark, or other big data frameworks.","Seattle, WA 98101"
46137,Senior Data Engineer,Coupang,"Experience with workflow management engines such as Airflow, Glue, Jenkins or similar workflow schedulers.","Seattle, WA 98101"
